Taxa de desemprego (IBGE/Pnad Contínua)
Sigla;Código;Estado;2022 T1;2022 T2;2022 T3;2022 T4;2023 T1;2023 T2;2023 T3;2023 T4;2024 T1;2024 T2;2024 T3;
AC;12;Acre;14,8;11,9;10,1;10;9,8;9,3;6,2;6,7;8,9;7,2;7,4;
AL;27;Alagoas;14,2;11,1;10,1;9,3;10,6;9,7;9;8,9;9,9;8,1;7,7;
AM;13;Amazonas;13;10,4;9,4;10;10,5;9,7;9,6;8,8;9,8;7,9;8,1;
AP;16;Amapá;14,2;11,4;10,8;13,3;12,2;12,4;12,6;14,2;10,9;9;8,3;
BA;29;Bahia;17,6;15,5;15,1;13,5;14,4;13,4;13,3;12,7;14;11,1;9,7;
CE;23;Ceará;11;10,4;8,6;7,8;9,6;8,6;9,2;8,7;8,6;7,5;6,7;
DF;53;Distrito Federal;12,6;11,5;10,9;10,3;12;8,7;8,8;9,6;9,5;9,7;8,8;
ES;32;Espírito Santo;9,2;8;7,3;7,2;7;6,4;5,5;5,2;5,9;4,5;4,1;
GO;52;Goiás;8,9;6,8;6,1;6,6;6,7;6,2;5,9;5,6;6,1;5,2;5,1;
MA;21;Maranhão;12,9;10,8;9,7;8,3;9,9;8,8;6,7;7,1;8,4;7,3;7,6;
MG;31;Minas Gerais;9,3;7,2;6,3;5,8;6,8;5,8;6;5,7;6,3;5,3;5;
MS;50;Mato Grosso do Sul;6,5;5,2;5,1;3,3;4,8;4,1;4;4;5;3,8;3,4;
MT;51;Mato Grosso;5,3;4,4;3,8;3,5;4,5;3;2,4;3,9;3,7;3,3;2,3;
PA;15;Pará;12,2;9,1;8,8;8,2;9,8;8,6;8;7,8;8,5;7,4;6,9;
PB;25;Paraíba;14,3;12,2;10,9;10,3;11,1;10,4;9,3;9,6;9,9;8,6;7,8;
PE;26;Pernambuco;17;13,6;13,9;12,3;14,1;14,2;13,2;11,9;12,4;11,5;10,5;
PI;22;Piauí;12,3;9,4;9,2;9,5;11,1;9,7;9,9;10,6;10;7,6;8;
PR;41;Paraná;6,8;6,1;5,3;5,1;5,4;4,9;4,6;4,7;4,8;4,4;4;
RJ;33;Rio de Janeiro;14,9;12,6;12,3;11,4;11,6;11,3;10,9;10;10,3;9,6;8,5;
RN;24;Rio Grande do Norte;14,1;12;10,5;9,9;12,1;10,2;10,1;8,3;9,6;9,1;8,8;
RO;11;Rondônia;6,9;5,8;3,9;3,1;3,2;2,4;2,3;3,8;3,7;3,3;2,1;
RR;14;Roraima;8,8;6,2;4,9;4,6;6,8;5,1;7,6;7;7,6;7,1;6,2;
RS;43;Rio Grande do Sul;7,5;6,3;6;4,6;5,4;5,3;5,4;5,2;5,8;5,9;5,1;
SC;42;Santa Catarina;4,5;3,9;3,8;3,2;3,8;3,5;3,6;3,2;3,8;3,2;2,8;
SE;28;Sergipe;14,9;12,7;12,1;11,9;11,9;10,3;9,8;11,2;10;9,1;8,4;
SP;35;São Paulo;10,8;9,2;8,6;7,7;8,5;7,8;7,1;6,9;7,4;6,4;6;
TO;17;Tocantins;9,3;5,5;5,6;5,2;6,9;6,5;5,4;5,8;6;4,3;5;
